<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	04:00:00	28.393	28.473	28.228	28.330	4182	0	47
2024.05.14	08:00:00	28.330	28.471	28.278	28.334	4733	0	47
2024.05.14	12:00:00	28.334	28.723	28.069	28.365	9138	0	47
2024.05.14	16:00:00	28.358	28.606	28.308	28.586	4298	0	47
2024.05.14	20:00:00	28.583	28.610	28.551	28.589	880	0	47
2024.05.15	00:00:00	28.589	28.618	28.415	28.568	3635	0	47
2024.05.15	04:00:00	28.568	28.670	28.493	28.632	4370	0	47
2024.05.15	08:00:00	28.632	28.906	28.632	28.755	5398	0	47
2024.05.15	12:00:00	28.756	29.411	28.499	29.273	10444	0	47
2024.05.15	16:00:00	29.274	29.715	29.262	29.663	5690	0	47
2024.05.15	20:00:00	29.662	29.789	29.645	29.711	1837	0	47
2024.05.16	00:00:00	29.711	29.825	29.451	29.521	6189	0	47
2024.05.16	04:00:00	29.521	29.637	29.400	29.621	4847	0	47
2024.05.16	08:00:00	29.616	29.707	29.460	29.641	5212	0	47
2024.05.16	12:00:00	29.641	29.706	29.308	29.676	8884	0	47
2024.05.16	16:00:00	29.676	29.699	29.572	29.584	3867	0	47
2024.05.16	20:00:00	29.591	29.716	29.524	29.652	1184	0	47
2024.05.17	00:00:00	29.656	29.695	29.442	29.500	4544	0	47
2024.05.17	04:00:00	29.500	29.781	29.458	29.702	4416	0	47
2024.05.17	08:00:00	29.704	29.768	29.601	29.763	4509	0	47
2024.05.17	12:00:00	29.763	30.789	29.693	30.604	10468	0	47
2024.05.17	16:00:00	30.606	31.534	30.606	31.490	7154	0	47
2024.05.17	20:00:00	31.486	31.574	31.372	31.432	1224	0	47
2024.05.19	20:00:00	31.560	31.560	31.264	31.409	2436	0	47
2024.05.20	00:00:00	31.408	32.490	31.312	32.307	7984	0	47
2024.05.20	04:00:00	32.310	32.375	31.598	31.934	7307	0	47
2024.05.20	08:00:00	31.933	32.085	31.359	31.495	6989	0	47
