<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.12.15	1.09931	1.10031	1.08882	1.08945	67929	0	8
2023.12.17	1.08906	1.08961	1.08900	1.08926	1138	0	40
2023.12.18	1.08944	1.09309	1.08936	1.09227	52347	0	8
2023.12.19	1.09229	1.09868	1.09145	1.09790	55364	0	8
2023.12.20	1.09791	1.09791	1.09295	1.09429	55667	0	8
2023.12.21	1.09429	1.10122	1.09349	1.10051	61719	0	7
2023.12.22	1.10051	1.10399	1.09935	1.10130	55419	0	8
2023.12.25	1.09785	1.10238	1.09785	1.10109	1204	0	156
2023.12.26	1.10123	1.10446	1.10031	1.10414	29675	0	10
2023.12.27	1.10417	1.11223	1.10283	1.11077	42383	0	10
2023.12.28	1.11079	1.11391	1.10547	1.10673	48295	0	10
2023.12.29	1.10676	1.10840	1.10336	1.10369	47690	0	10
2024.01.01	1.10268	1.10369	1.10268	1.10306	1197	0	127
2024.01.02	1.10304	1.10385	1.09361	1.09411	51616	0	10
2024.01.03	1.09413	1.09650	1.08924	1.09253	62548	0	8
2024.01.04	1.09254	1.09718	1.09156	1.09457	53524	0	10
2024.01.05	1.09456	1.09981	1.08759	1.09420	69571	0	10
2024.01.07	1.09399	1.09445	1.09303	1.09394	1179	0	40
2024.01.08	1.09410	1.09785	1.09222	1.09491	50597	0	10
2024.01.09	1.09493	1.09659	1.09097	1.09311	51247	0	10
2024.01.10	1.09313	1.09743	1.09222	1.09735	43780	0	10
2024.01.11	1.09737	1.09980	1.09297	1.09818	70427	0	10
2024.01.12	1.09820	1.09865	1.09354	1.09499	54312	0	10
2024.01.14	1.09466	1.09494	1.09421	1.09432	921	0	40
2024.01.15	1.09448	1.09671	1.09330	1.09445	34916	0	10
2024.01.16	1.09446	1.09459	1.08616	1.08778	65171	0	10
2024.01.17	1.08780	1.08850	1.08441	1.08849	57137	0	10
2024.01.18	1.08855	1.09064	1.08462	1.08793	57266	0	10
2024.01.19	1.08794	1.08974	1.08652	1.08970	46517	0	10
2024.01.21	1.08869	1.08953	1.08835	1.08903	1655	0	40
2024.01.22	1.08916	1.09090	1.08765	1.08770	44045	0	10
2024.01.23	1.08771	1.09156	1.08209	1.08567	47631	0	10
2024.01.24	1.08566	1.09321	1.08510	1.08812	56014	0	10
2024.01.25	1.08808	1.09015	1.08210	1.08452	60680	0	10
2024.01.26	1.08447	1.08855	1.08123	1.08544	47384	0	10
2024.01.28	1.08399	1.08471	1.08374	1.08409	1792	0	40
2024.01.29	1.08421	1.08496	1.07953	1.08331	41216	0	10
2024.01.30	1.08333	1.08568	1.08115	1.08424	47598	0	10
2024.01.31	1.08425	1.08871	1.07944	1.08035	84056	0	10
2024.02.01	1.08037	1.08756	1.07794	1.08735	60868	0	10
2024.02.02	1.08737	1.08972	1.07801	1.07870	54101	0	10
2024.02.04	1.07824	1.07849	1.07686	1.07785	1552	0	39
2024.02.05	1.07794	1.07855	1.07227	1.07405	45768	0	10
2024.02.06	1.07405	1.07619	1.07220	1.07558	45581	0	10
2024.02.07	1.07562	1.07835	1.07554	1.07750	44441	0	10
2024.02.08	1.07752	1.07886	1.07411	1.07767	40879	0	10
2024.02.09	1.07774	1.07946	1.07619	1.07851	41012	0	10
2024.02.11	1.07816	1.07966	1.07804	1.07955	1374	0	40
2024.02.12	1.07974	1.08050	1.07553	1.07710	35418	0	10
2024.02.13	1.07712	1.07976	1.07001	1.07080	48986	0	10
2024.02.14	1.07081	1.07339	1.06945	1.07311	42454	0	10
2024.02.15	1.07317	1.07844	1.07242	1.07727	42121	0	10
2024.02.16	1.07723	1.07869	1.07316	1.07767	42390	0	10
2024.02.18	1.07734	1.07828	1.07669	1.07812	1162	0	40
2024.02.19	1.07834	1.07889	1.07616	1.07754	26888	0	10
2024.02.20	1.07751	1.08385	1.07614	1.08102	41681	0	10
2024.02.21	1.08092	1.08239	1.07897	1.08198	42236	0	10
2024.02.22	1.08197	1.08878	1.08023	1.08244	49235	0	10
2024.02.23	1.08248	1.08390	1.08113	1.08205	38856	0	10
2024.02.25	1.08252	1.08252	1.08151	1.08177	1320	0	40
2024.02.26	1.08188	1.08594	1.08122	1.08497	34962	0	10
2024.02.27	1.08499	1.08655	1.08326	1.08410	37036	0	10
2024.02.28	1.08407	1.08453	1.07962	1.08376	39385	0	10
2024.02.29	1.08378	1.08554	1.07955	1.08046	50910	0	10
2024.03.01	1.08054	1.08427	1.07977	1.08389	41757	0	10
2024.03.03	1.08341	1.08422	1.08337	1.08387	1292	0	40
2024.03.04	1.08411	1.08664	1.08374	1.08541	35268	0	10
2024.03.05	1.08537	1.08757	1.08398	1.08554	38013	0	10
2024.03.06	1.08551	1.09148	1.08419	1.08979	42975	0	10
2024.03.07	1.08989	1.09498	1.08676	1.09498	46467	0	10
2024.03.08	1.09507	1.09807	1.09176	1.09379	48315	0	10
2024.03.10	1.09329	1.09431	1.09329	1.09421	1988	0	10
2024.03.11	1.09422	1.09477	1.09141	1.09302	35222	0	10
2024.03.12	1.09301	1.09433	1.09017	1.09264	41711	0	10
2024.03.13	1.09262	1.09634	1.09197	1.09525	34350	0	10
2024.03.14	1.09526	1.09542	1.08799	1.08825	38142	0	10
2024.03.15	1.08823	1.08992	1.08723	1.08866	30859	0	10
2024.03.17	1.08879	1.08898	1.08797	1.08826	1864	0	10
2024.03.18	1.08830	1.09055	1.08657	1.08730	27727	0	10
2024.03.19	1.08730	1.08762	1.08343	1.08616	34274	0	10
2024.03.20	1.08614	1.09367	1.08361	1.09366	42827	0	10
2024.03.21	1.09367	1.09421	1.08550	1.08615	40454	0	10
2024.03.22	1.08614	1.08674	1.08011	1.08082	30051	0	10
2024.03.24	1.08067	1.08096	1.08028	1.08069	1335	0	10
2024.03.25	1.08070	1.08418	1.08016	1.08364	25301	0	10
2024.03.26	1.08366	1.08638	1.08238	1.08316	28882	0	10
2024.03.27	1.08321	1.08385	1.08071	1.08120	29637	0	10
2024.03.28	1.08122	1.08261	1.07747	1.07903	36404	0	10
2024.03.29	1.07903	1.08021	1.07628	1.07743	19271	0	10
2024.03.31	1.07887	1.07942	1.07832	1.07913	2287	0	10
2024.04.01	1.07927	1.07984	1.07307	1.07364	27328	0	10
2024.04.02	1.07370	1.07785	1.07241	1.07678	32208	0	10
2024.04.03	1.07677	1.08403	1.07635	1.08372	33174	0	10
2024.04.04	1.08372	1.08762	1.08316	1.08357	31927	0	10
2024.04.05	1.08361	1.08475	1.07910	1.08366	35661	0	10
2024.04.07	1.08362	1.08369	1.08255	1.08290	1660	0	10
2024.04.08	1.08295	1.08630	1.08205	1.08612	33057	0	10
2024.04.09	1.08615	1.08845	1.08472	1.08580	30837	0	10
2024.04.10	1.08583	1.08660	1.07283	1.07410	49185	0	10
2024.04.11	1.07409	1.07559	1.06988	1.07258	47550	0	10
2024.04.12	1.07258	1.07278	1.06220	1.06403	42477	0	10
2024.04.14	1.06289	1.06496	1.06266	1.06468	2690	0	10
2024.04.15	1.06459	1.06647	1.06197	1.06244	46397	0	10
2024.04.16	1.06245	1.06531	1.06004	1.06200	53823	0	10
2024.04.17	1.06207	1.06791	1.06056	1.06680	46191	0	10
2024.04.18	1.06685	1.06897	1.06397	1.06427	39622	0	10
2024.04.19	1.06420	1.06774	1.06099	1.06561	54921	0	10
2024.04.21	1.06524	1.06608	1.06480	1.06571	1757	0	10
2024.04.22	1.06571	1.06700	1.06236	1.06533	34427	0	10
2024.04.23	1.06533	1.07108	1.06381	1.07018	41269	0	10
2024.04.24	1.07018	1.07139	1.06775	1.06995	34395	0	10
2024.04.25	1.06998	1.07395	1.06780	1.07264	43193	0	10
2024.04.26	1.07264	1.07524	1.06734	1.06925	39416	0	10
2024.04.28	1.06899	1.07067	1.06874	1.07066	1834	0	10
2024.04.29	1.07064	1.07331	1.06897	1.07144	43616	0	10
2024.04.30	1.07144	1.07349	1.06575	1.06656	43960	0	10
2024.05.01	1.06658	1.07322	1.06488	1.07166	50977	0	10
2024.05.02	1.07166	1.07305	1.06738	1.07293	42923	0	10
2024.05.03	1.07296	1.08117	1.07238	1.07623	48347	0	10
2024.05.05	1.07609	1.07644	1.07570	1.07580	1495	0	10
2024.05.06	1.07579	1.07902	1.07549	1.07670	28830	0	10
2024.05.07	1.07669	1.07869	1.07471	1.07495	33790	0	10
2024.05.08	1.07493	1.07569	1.07344	1.07465	29272	0	10
2024.05.09	1.07465	1.07852	1.07236	1.07811	31929	0	10
2024.05.10	1.07811	1.07896	1.07598	1.07703	29278	0	10
2024.05.12	1.07703	1.07747	1.07655	1.07696	1559	0	10
2024.05.13	1.07696	1.08063	1.07654	1.07916	26895	0	10
2024.05.14	1.07916	1.08251	1.07668	1.08133	31787	0	10
2024.05.15	1.08132	1.08898	1.08127	1.08878	38799	0	10
2024.05.16	1.08878	1.08946	1.08539	1.08674	31311	0	10
2024.05.17	1.08674	1.08779	1.08353	1.08686	25481	0	10
