<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.12.22	2238.86	2342.58	2229.35	2325.70	91253	0	182
2023.12.23	2325.40	2332.57	2266.50	2307.45	80189	0	191
2023.12.24	2307.07	2324.10	2244.92	2264.68	79702	0	196
2023.12.25	2264.78	2303.93	2253.13	2271.30	78634	0	174
2023.12.26	2271.28	2274.78	2178.73	2231.00	82266	0	192
2023.12.27	2230.97	2394.26	2212.23	2380.89	85865	0	166
2023.12.28	2380.76	2447.49	2334.34	2343.34	90120	0	167
2023.12.29	2343.33	2385.62	2258.20	2299.26	87207	0	184
2023.12.30	2299.32	2321.65	2268.14	2291.51	76817	0	175
2023.12.31	2291.15	2320.29	2258.64	2281.80	78309	0	175
2024.01.01	2281.64	2350.58	2265.33	2350.51	78155	0	157
2024.01.02	2350.31	2430.26	2342.35	2355.33	90086	0	192
2024.01.03	2355.10	2383.89	2103.88	2209.73	109673	0	182
2024.01.04	2209.63	2297.08	2203.76	2268.20	89799	0	181
2024.01.05	2268.48	2277.77	2207.57	2269.39	93715	0	173
2024.01.06	2269.12	2270.99	2218.11	2241.93	78812	0	176
2024.01.07	2241.44	2257.17	2205.81	2222.69	79826	0	182
2024.01.08	2222.76	2359.03	2168.33	2330.62	92662	0	173
2024.01.09	2330.83	2370.05	2230.01	2342.82	94652	0	186
2024.01.10	2342.80	2636.91	2338.38	2582.90	113794	0	167
2024.01.11	2584.11	2685.00	2566.04	2616.36	102447	0	213
2024.01.12	2616.48	2713.71	2457.65	2522.23	109497	0	185
2024.01.13	2522.34	2588.88	2497.84	2576.38	90431	0	167
2024.01.14	2576.21	2577.86	2469.46	2472.72	88102	0	176
2024.01.15	2472.70	2551.81	2470.21	2511.82	87338	0	183
2024.01.16	2511.85	2613.83	2499.85	2586.54	89655	0	173
2024.01.17	2586.64	2592.61	2504.36	2527.81	90450	0	167
2024.01.18	2527.84	2546.93	2424.38	2469.19	91321	0	193
2024.01.19	2469.12	2503.55	2413.25	2491.92	89285	0	183
2024.01.20	2491.74	2491.77	2453.11	2471.43	76666	0	177
2024.01.21	2471.17	2482.36	2452.18	2457.23	69683	0	169
2024.01.22	2456.83	2464.66	2301.92	2313.14	95018	0	191
2024.01.23	2312.91	2350.53	2165.54	2241.83	97602	0	172
2024.01.24	2241.50	2263.62	2195.72	2233.08	88333	0	175
2024.01.25	2234.12	2241.86	2168.75	2216.51	86060	0	165
2024.01.26	2217.87	2280.67	2195.85	2265.96	85034	0	176
2024.01.27	2266.16	2282.76	2249.89	2266.93	75040	0	152
2024.01.28	2267.26	2308.27	2238.74	2256.45	80798	0	185
2024.01.29	2256.34	2322.06	2232.52	2318.07	81684	0	196
2024.01.30	2317.83	2392.19	2296.77	2343.32	83796	0	189
2024.01.31	2343.11	2351.83	2261.91	2281.81	85915	0	209
2024.02.01	2281.53	2310.00	2238.54	2302.50	83843	0	195
2024.02.02	2302.27	2323.57	2279.32	2307.21	78167	0	182
2024.02.03	2307.29	2328.07	2290.54	2295.57	72787	0	187
2024.02.04	2295.69	2309.18	2266.98	2288.52	73911	0	177
2024.02.05	2288.02	2336.36	2267.82	2298.99	78711	0	180
2024.02.06	2299.26	2390.80	2295.60	2371.82	82185	0	164
2024.02.07	2371.96	2446.04	2351.16	2422.79	84827	0	138
2024.02.08	2424.48	2461.51	2410.18	2418.31	85198	0	171
2024.02.09	2418.93	2523.70	2417.65	2487.45	87832	0	207
2024.02.10	2488.32	2516.96	2473.93	2502.14	77899	0	187
